Wlot,Relacja,Godz,b.moto,c.osobowe,c3.mikrobusy,d.dostawcze,e.ciężarowe,f.ciężarowe z naczepą,g.autobusy,h.rolne,rowery,hulajnogi,pieszy,pieszy potrzeby
ZACH,Prawo,3,0,6,0,0,0,0,1,0,0,0,0,0
ZACH,Prawo,4,0,16,0,1,0,0,1,0,0,0,0,0
ZACH,Prawo,5,1,122,0,12,0,0,3,0,1,0,0,0
ZACH,Prawo,6,2,249,0,17,0,5,4,0,0,0,1,0
ZACH,Prawo,7,3,290,0,19,3,0,5,1,0,0,0,0
ZACH,Prawo,8,3,311,0,23,3,1,5,0,1,0,0,0
ZACH,Prawo,9,2,323,0,20,1,2,5,0,0,0,0,0
ZACH,Prawo,10,2,295,0,6,6,2,7,0,2,0,0,0
ZACH,Prawo,11,2,291,0,16,4,1,4,0,2,0,0,0
ZACH,Prawo,12,4,286,1,13,1,1,8,0,0,0,5,0
ZACH,Prawo,13,0,328,0,12,2,1,6,1,3,0,0,0
ZACH,Prawo,14,5,454,0,13,2,4,11,0,1,1,3,0
ZACH,Prawo,15,7,460,0,11,0,0,7,0,1,0,1,0
ZACH,Prawo,16,9,467,0,10,0,0,6,0,2,0,0,0
ZACH,Prawo,17,5,385,0,9,0,0,6,0,3,0,5,0
ZACH,Prawo,18,4,351,0,8,0,0,3,0,9,0,4,0
ZACH,Prawo,19,4,311,0,2,0,0,2,0,4,2,1,0
ZACH,Prawo,20,7,273,0,4,0,0,4,0,0,0,0,0
ZACH,Prawo,21,5,189,0,2,1,0,4,0,0,0,1,0
ZACH,Prawo,22,2,118,0,2,0,0,2,0,0,0,1,0
ZACH,Prawo,23,0,46,0,2,0,1,1,0,0,0,0,0
ZACH,Wprost,0,0,1,0,0,0,0,0,0,0,0,0,0
ZACH,Wprost,1,0,1,0,0,0,0,0,0,0,0,0,0
ZACH,Wprost,2,0,0,0,0,0,1,0,0,0,0,0,0
ZACH,Wprost,3,0,2,0,1,0,0,0,0,0,0,0,0
ZACH,Wprost,4,0,3,0,0,1,1,0,0,1,0,0,0
ZACH,Wprost,5,0,52,0,0,0,4,2,0,3,0,0,0
ZACH,Wprost,6,6,179,1,10,3,2,0,0,3,0,0,0
ZACH,Wprost,7,1,142,1,18,1,1,3,0,6,0,1,0
ZACH,Wprost,8,1,132,0,14,4,1,1,0,4,0,1,0
ZACH,Wprost,9,2,97,0,17,3,4,1,0,0,0,2,0
ZACH,Wprost,10,0,108,0,12,2,3,0,0,2,0,1,0
ZACH,Wprost,11,3,93,1,14,1,1,0,0,5,0,4,0
ZACH,Wprost,12,0,108,0,18,2,3,3,0,2,0,2,0
ZACH,Wprost,13,1,104,0,13,4,3,0,0,8,0,3,0
ZACH,Wprost,14,4,201,0,12,2,0,1,0,3,0,3,0
ZACH,Wprost,15,3,226,0,9,1,0,1,0,8,0,2,0
ZACH,Wprost,16,6,206,0,11,2,1,1,0,9,0,2,0
ZACH,Wprost,17,5,160,0,6,0,0,0,0,12,0,0,0
ZACH,Wprost,18,3,139,0,2,0,2,1,0,17,0,1,0
ZACH,Wprost,19,0,95,0,5,0,0,0,0,9,0,3,0
ZACH,Wprost,20,1,97,0,0,0,2,0,0,4,0,1,0
ZACH,Wprost,21,2,47,0,2,0,0,2,0,0,0,0,0
ZACH,Wprost,22,1,19,0,0,0,0,1,0,0,0,0,0
ZACH,Wprost,23,0,10,0,1,0,0,0,0,0,0,0,0
PN,Lewo,0,0,10,0,0,0,0,0,0,0,0,0,0
PN,Lewo,1,0,3,0,1,0,0,0,0,0,0,0,0
PN,Lewo,2,0,2,0,0,0,0,0,0,0,0,0,0
PN,Lewo,3,0,4,0,1,0,0,0,0,0,0,0,0
PN,Lewo,4,0,12,0,1,0,0,0,0,0,0,0,0
PN,Lewo,5,1,68,0,5,0,0,0,0,1,0,1,0
PN,Lewo,6,1,155,0,10,0,0,0,0,2,0,2,0
PN,Lewo,7,1,195,0,9,1,0,0,0,2,0,3,1
PN,Lewo,8,1,178,0,5,0,0,0,0,1,1,5,0
PN,Lewo,9,1,157,0,8,1,0,0,0,1,1,4,0
PN,Lewo,10,1,159,0,9,2,0,0,0,0,0,6,1
PN,Lewo,11,3,174,0,5,0,0,0,0,3,0,11,0
PN,Lewo,12,2,137,0,5,0,0,0,0,0,0,4,1
PN,Lewo,13,1,174,1,11,0,0,0,0,3,1,10,1
PN,Lewo,14,4,172,1,7,0,0,0,0,4,0,8,1
PN,Lewo,15,2,128,1,4,1,0,0,0,6,0,7,1
PN,Lewo,16,3,140,0,4,0,0,0,0,0,1,10,2
PN,Lewo,17,2,151,0,5,0,0,0,0,5,0,17,0
PN,Lewo,18,3,170,0,3,0,0,0,0,10,1,16,0
PN,Lewo,19,1,124,0,5,0,0,0,0,6,0,15,0
PN,Lewo,20,2,100,0,3,0,0,0,0,8,0,12,0
PN,Lewo,21,2,69,0,0,0,0,0,0,3,0,1,0
PN,Lewo,22,1,73,1,1,0,0,0,0,0,0,0,0
PN,Lewo,23,0,29,0,0,0,0,0,0,0,0,0,0
PN,Wprost,0,0,4,0,0,0,0,0,0,0,0,0,0
PN,Wprost,1,0,0,0,0,0,1,0,0,0,0,0,0
PN,Wprost,2,0,2,0,0,0,0,0,0,0,0,0,0
PN,Wprost,3,0,0,0,0,0,1,0,0,0,0,0,0
PN,Wprost,4,0,2,0,1,0,0,2,0,0,0,0,0
PN,Wprost,5,0,13,0,1,0,0,2,0,0,0,0,0
PN,Wprost,6,0,39,1,2,0,0,3,0,0,0,0,0
PN,Wprost,7,0,107,0,6,0,1,2,0,0,0,0,0
PN,Wprost,8,1,132,0,3,0,0,1,0,0,0,0,0
PN,Wprost,9,0,90,0,3,0,1,1,0,0,0,0,0
PN,Wprost,10,0,108,1,1,2,0,2,0,0,0,0,0
PN,Wprost,11,0,116,0,2,2,0,1,0,0,0,0,0
PN,Wprost,12,0,106,0,4,2,0,2,0,0,0,0,0
PN,Wprost,13,1,122,0,4,1,0,2,0,0,0,0,0
PN,Wprost,14,1,168,0,1,1,0,2,0,0,0,0,0
PN,Wprost,15,0,156,0,4,0,0,1,0,0,0,0,0
PN,Wprost,16,0,162,0,2,0,0,3,0,0,0,0,0
PN,Wprost,17,0,147,0,2,0,0,2,0,0,0,0,0
PN,Wprost,18,0,184,0,1,0,0,1,0,0,0,0,0
PN,Wprost,19,0,148,0,2,0,0,2,0,0,0,0,0
PN,Wprost,20,3,94,0,1,0,0,1,0,0,0,0,0
PN,Wprost,21,1,48,0,0,0,0,3,0,0,0,0,0
PN,Wprost,22,0,29,0,0,0,1,1,0,0,0,0,0
PN,Wprost,23,0,10,0,1,0,0,0,0,0,0,0,0
PN,Wprost,0,0,9,0,0,0,0,0,0,0,0,0,0
PN,Wprost,1,0,6,0,1,0,0,0,0,0,0,0,0
PN,Wprost,2,0,10,0,3,0,0,0,0,0,0,0,0
PN,Wprost,3,0,6,0,1,0,0,1,0,0,0,0,0
PN,Wprost,4,0,15,0,2,0,0,1,0,0,0,0,0
PN,Wprost,5,0,58,0,3,0,0,3,0,0,0,0,0
PN,Wprost,6,1,120,0,15,2,0,3,1,8,0,0,0
PN,Wprost,7,0,156,0,18,4,2,6,0,10,0,1,0
